#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1
      69       1.7147       1.2204,      69       1.3057       4.8196,      69       1.8599       2.0436,      69       1.2777       1.9508,      69       1.7633       2.2015,      69       1.5830       1.6742,      69       1.3508       4.5920,      69       1.7641       2.2426,      69       1.6474       4.2203,      69       1.9016       2.8946
      70       1.5799       1.7740,      70       1.2540       3.9200,      70       1.7375       1.9335,      70       1.2774       2.1806,      70       1.7332       2.0912,      70       1.4906       1.7575,      70       1.5724       4.4563,      70       1.7694       2.2399,      70       1.9795       3.6125,      70       1.5099       3.0254
      71       1.9366       1.2127,      71       1.3224       3.7997,      71       1.5517       1.6773,      71       1.5695       2.3601,      71       1.5813       1.7637,      71       1.5769       1.7766,      71       1.5332       3.5194,      71       1.9883       2.1080,      71       1.7484       3.5975,      71       1.6522       2.6709
      72       1.5860       1.8621,      72       1.2423       3.8465,      72       1.6791       1.5778,      72       1.3767       1.7006,      72       1.8301       1.5738,      72       1.7916       1.9505,      72       1.5113       3.7799,      72       2.0182       2.3646,      72       1.5686       2.9728,      72       1.8219       3.5147
      73       1.9994       2.1818,      73       1.5477       4.9540,      73       1.5167       1.7962,      73       1.6817       1.9706,      73       1.8222       1.7555,      73       1.7410       2.3768,      73       1.3696       3.4207,      73       1.8973       2.1446,      73       1.7643       2.5624,      73       1.8553       3.1284
      74       1.9568       1.7816,      74       1.1540       3.0446,      74       1.5362       1.9829,      74       1.6028       2.1984,      74       1.6796       2.1849,      74       1.6506       2.7260,      74       1.3931       3.1261,      74       1.5030       2.1766,      74       1.4888       3.6285,      74       2.1774       3.0568
      75       1.8551       2.3065,      75       1.2587       4.0466,      75       1.4914       2.1511,      75       1.3684       1.9266,      75       1.7305       2.1680,      75       2.1459       2.3040,      75       1.6168       3.9936,      75       1.9020       1.8860,      75       1.8226       2.8901,      75       2.1194       2.5107
      76       2.1590       1.6484,      76       1.3046       3.8750,      76       1.6086       2.5664,      76       1.4247       1.9964,      76       1.5732       1.8769,      76       1.8727       2.0871,      76       1.5701       3.9266,      76       2.0876       1.8845,      76       1.6068       2.2853,      76       2.2741       2.6179
      77       2.2146       1.8237,      77       1.3461       4.3613,      77       1.4919       2.7928,      77       1.4330       2.1890,      77       1.7109       1.8808,      77       1.9310       2.5854,      77       1.6323       3.8849,      77       1.9850       1.4434,      77       1.7434       2.6580,      77       2.2046       2.6746
      78       1.9012       1.8183,      78       1.3276       4.2830,      78       1.6312       2.1959,      78       1.6520       2.1677,      78       1.7504       1.6511,      78       2.1678       2.7822,      78       1.6447       5.1458,      78       1.8827       1.4693,      78       1.7938       2.9881,      78       2.0853       3.0278
      79       2.1796       2.1495,      79       1.5311       5.2448,      79       1.8747       2.4863,      79       1.2830       2.3431,      79       1.6981       2.2351,      79       2.1762       2.1533,      79       1.6253       3.9091,      79       2.2181       1.6139,      79       1.4630       2.6217,      79       2.0637       2.8566
      80       1.8933       2.2514,      80       1.5238       3.4710,      80       1.6297       2.1552,      80       1.5857       2.1431,      80       1.6777       1.5380,      80       2.0260       1.7228,      80       1.6775       3.5877,      80       1.8103       1.5785,      80       1.5686       2.7680,      80       1.9107       2.8419
      81       2.2434       2.8278,      81       1.3053       4.0983,      81       1.4683       2.8551,      81       1.5044       2.2957,      81       2.0933       1.8718,      81       1.8827       1.2969,      81       1.5614       4.6863,      81       1.6755       1.7486,      81       1.4936       2.6611,      81       2.3088       2.9542
      82       1.8428       3.2113,      82       1.4545       4.4341,      82       1.5089       3.3585,      82       1.5753       2.5597,      82       2.0437       2.5433,      82       1.6574       2.2684,      82       1.3184       5.2690,      82       1.5228       1.7417,      82       1.6162       2.3782,      82       2.2377       2.6444
      83       1.6811       3.2477,      83       1.4336       5.2199,      83       1.4989       3.3421,      83       1.3545       2.3345,      83       1.7294       2.4777,      83       1.9129       2.7201,      83       1.3271       5.1495,      83       1.9364       2.0595,      83       1.9524       2.6299,      83       2.2629       2.1659
      84       2.0442       3.0682,      84       1.5511       4.3755,      84       1.5068       3.2608,      84       1.4279       2.3215,      84       2.0980       2.1252,      84       1.8491       2.4097,      84       1.2530       5.9255,      84       1.5061       2.6222,      84       1.3486       3.0091,      84       2.2099       2.7888
      85       1.8330       3.1574,      85       1.2835       4.5272,      85       1.7312       3.7322,      85       1.3605       1.9659,      85       1.7446       1.8767,      85       1.6398       2.3135,      85       1.3532       4.3683,      85       1.9039       2.6335,      85       1.4757       3.3606,      85       2.2550       3.3135
      86       1.7995       2.5628,      86       1.1833       4.8590,      86       1.7179       2.9515,      86       1.2803       1.7395,      86       1.9579       2.4217,      86       1.6734       2.1288,      86       1.3648       5.4309,      86       1.5424       2.6026,      86       1.7546       3.7229,      86       2.5843       2.5353
      87       2.0345       2.2557,      87       1.2987       3.5494,      87       1.7245       2.4231,      87       1.2166       2.0156,      87       1.8617       1.6638,      87       1.8237       3.4181,      87       1.6411       4.7767,      87       1.6054       2.4229,      87       1.4874       2.9242,      87       2.2340       2.2938
      88       2.2661       2.5256,      88       1.3467       4.7843,      88       1.9569       2.8007,      88       1.2402       2.0870,      88       1.9134       2.1568,      88       1.8561       2.2627,      88       1.7223       4.7492,      88       1.7649       2.9776,      88       1.5436       3.0095,      88       2.2405       2.6615
      89       1.7138       2.8295,      89       1.3125       4.2388,      89       1.9645       3.2654,      89       1.1963       2.4314,      89       1.9253       2.4423,      89       1.5643       3.4432,      89       1.4258       4.5667,      89       1.6616       2.8163,      89       1.3675       3.9166,      89       2.2646       2.1550
